player_id,full_name,position,birth_date,team_name,minutes_played,goals_per90,assists_per90,xg_per90,xa_per90,npxg_per90,market_value_eur,match_confidence,age,position_group,goals_per90_pctl,assists_per90_pctl,xg_per90_pctl,xa_per90_pctl,npxg_per90_pctl,composite_output_pctl,value_efficiency
15,Keito Nakamura,F M S,2000-07-28,Reims,2702,0.366,0.067,0.308,0.107,0.308,8000000.0,1.0,26.0,Forward,68.04123711340206,24.742268041237114,48.45360824742268,28.865979381443296,51.546391752577314,44.32989690721649,5.541237113402061
16,Gaetan Perrin,F M S,1996-06-07,Auxerre,2750,0.327,0.36,0.202,0.279,0.202,8000000.0,1.0,30.1,Forward,57.73195876288659,92.78350515463917,16.49484536082474,84.5360824742268,21.649484536082475,54.639175257731964,6.8298969072164954
17,Abdoulaye Touré,M S,1994-03-03,Le Havre,2347,0.383,0.038,0.36,0.022,0.097,3000000.0,1.0,32.4,Midfielder,98.7012987012987,32.467532467532465,98.7012987012987,7.792207792207792,55.84415584415584,58.7012987012987,19.567099567099564
18,Hamed Junior Traore,F M,2000-02-16,Auxerre,2154,0.418,0.084,0.32,0.122,0.32,20000000.0,0.855,26.4,Forward,77.31958762886599,30.927835051546392,52.57731958762887,32.47422680412371,54.63917525773196,49.58762886597938,2.479381443298969
19,Gonçalo Ramos,F S,2001-06-20,Paris Saint Germain,1047,0.86,0.258,1.398,0.287,1.202,40000000.0,1.0,25.1,Forward,97.9381443298969,79.38144329896907,100.0,86.5979381443299,100.0,92.78350515463917,2.319587628865979
20,Andrey Santos,M,2004-05-03,Strasbourg,2861,0.315,0.094,0.204,0.104,0.204,35000000.0,1.0,22.2,Midfielder,94.8051948051948,54.54545454545454,80.51948051948052,53.246753246753244,84.4155844155844,73.50649350649351,2.1001855287569575
21,Adrien Rabiot,M S,1995-04-03,Marseille,2476,0.327,0.182,0.265,0.144,0.265,25000000.0,1.0,31.3,Midfielder,96.1038961038961,85.71428571428571,89.6103896103896,71.42857142857143,93.5064935064935,87.27272727272728,3.490909090909091
22,Zuriko Davitashvili,F M S,2001-02-15,Saint-Etienne,2815,0.288,0.256,0.257,0.181,0.208,10000000.0,1.0,25.4,Forward,44.84536082474227,78.35051546391753,31.958762886597935,58.76288659793815,24.742268041237114,47.7319587628866,4.77319587628866
23,Matthis Abline,F M S,2003-03-28,Nantes,2823,0.287,0.064,0.302,0.134,0.278,18000000.0,1.0,23.3,Forward,43.29896907216495,23.711340206185564,46.391752577319586,41.23711340206185,41.23711340206185,39.17525773195876,2.176403207331042
24,Esteban Lepaul,F S,2000-04-18,Angers,1638,0.495,0.0,0.402,0.063,0.402,7000000.0,1.0,26.2,Forward,83.50515463917526,8.762886597938143,62.88659793814433,9.278350515463918,67.0103092783505,46.28865979381443,6.612665684830633
25,Moses Simon,F M S,1995-07-12,Nantes,2661,0.271,0.338,0.234,0.295,0.131,12000000.0,1.0,31.0,Forward,40.20618556701031,88.65979381443299,26.288659793814436,87.62886597938144,7.731958762886598,50.10309278350516,4.175257731958763
26,Mathis Cherki,F M S,,Lyon,2050,0.351,0.483,0.234,0.519,0.234,,,,Forward,63.91752577319587,98.96907216494846,26.288659793814436,98.96907216494846,31.958762886597935,64.02061855670102,
27,Neil El Aynaoui,M S,2001-07-02,Lens,1596,0.451,0.056,0.266,0.116,0.138,15000000.0,1.0,25.0,Midfielder,100.0,40.25974025974026,90.9090909090909,58.44155844155844,70.12987012987013,71.94805194805194,4.796536796536796
28,Corentin Tolisso,M S,1994-08-03,Lyon,2343,0.269,0.154,0.218,0.154,0.218,12000000.0,1.0,32.0,Midfielder,90.9090909090909,79.22077922077922,84.4155844155844,73.37662337662337,87.01298701298701,82.987012987013,6.915584415584417
29,Luis Henrique,D M S,2001-12-14,Marseille,2646,0.238,0.238,0.184,0.184,0.184,25000000.0,1.0,24.6,Defender,98.78048780487805,95.1219512195122,94.20731707317073,87.1951219512195,94.8170731707317,94.02439024390245,3.760975609756098
30,Zakaria Aboukhlal,F M S,2000-02-18,Toulouse,1935,0.326,0.093,0.557,0.079,0.486,12000000.0,1.0,26.4,Forward,56.70103092783505,36.08247422680412,78.35051546391753,14.432989690721648,79.38144329896907,52.98969072164948,4.4158075601374565
31,Joshua King,F M S,1992-01-15,Toulouse,1685,0.32,0.16,0.414,0.093,0.414,1800000.0,1.0,34.5,Forward,54.63917525773196,60.824742268041234,64.94845360824742,19.587628865979383,69.0721649484536,53.814432989690715,29.896907216494842
32,Ludovic Blas,F M S,1997-12-31,Rennes,2332,0.232,0.309,0.215,0.218,0.215,18000000.0,1.0,28.5,Forward,31.958762886597935,84.5360824742268,20.618556701030926,70.61855670103093,26.804123711340207,46.90721649484535,2.605956471935853
33,Romain Del Castillo,F M S,1996-03-29,Brest,1246,0.433,0.289,0.311,0.32,0.092,7000000.0,1.0,30.3,Forward,79.38144329896907,82.4742268041237,49.48453608247423,88.65979381443299,2.5773195876288657,60.51546391752578,8.645066273932255
34,Breel Embolo,F M S,1997-02-14,Monaco,1853,0.291,0.194,0.601,0.286,0.601,12000000.0,1.0,29.4,Forward,46.391752577319586,68.04123711340206,80.41237113402062,85.56701030927834,87.62886597938144,73.60824742268042,6.134020618556701
35,Denis Zakaria,M S,1996-11-20,Monaco,2156,0.25,0.167,0.186,0.066,0.122,30000000.0,1.0,29.7,Midfielder,89.6103896103896,84.4155844155844,75.32467532467533,37.01298701298701,64.93506493506493,70.25974025974025,2.3419913419913416
36,Sofiane Diop,F M S,2000-06-09,Nice,1018,0.53,0.354,0.49,0.275,0.49,10000000.0,1.0,26.1,Forward,84.5360824742268,90.72164948453609,75.25773195876289,82.4742268041237,82.4742268041237,83.09278350515464,8.309278350515465
37,Lee Kang-In,F M S,2001-02-19,Paris Saint Germain,1670,0.323,0.323,0.232,0.367,0.232,25000000.0,0.95,25.4,Forward,55.670103092783506,87.62886597938144,24.22680412371134,92.78350515463917,30.412371134020617,58.14432989690722,2.325773195876289
38,Takumi Minamino,M S,1995-01-16,Monaco,2269,0.238,0.119,0.387,0.268,0.387,15000000.0,1.0,31.5,Midfielder,88.31168831168831,68.18181818181817,100.0,94.8051948051948,100.0,90.25974025974025,6.017316017316017
39,Dilane Bakwa,D F M S,2002-08-26,Strasbourg,2544,0.212,0.283,0.172,0.273,0.172,25000000.0,1.0,23.9,Defender,95.73170731707317,98.78048780487805,92.6829268292683,96.34146341463415,93.29268292682927,95.36585365853658,3.8146341463414632
40,M'Bala Nzola,F S,1996-08-18,Lens,1470,0.367,0.061,0.607,0.074,0.607,6000000.0,1.0,29.9,Forward,69.0721649484536,21.649484536082475,81.44329896907216,12.371134020618557,88.65979381443299,54.639175257731964,9.106529209621995
41,Désiré Doué,F M S,2005-06-03,Paris Saint Germain,1725,0.313,0.313,0.319,0.522,0.319,90000000.0,1.0,21.1,Forward,53.09278350515464,86.5979381443299,51.546391752577314,100.0,53.608247422680414,68.96907216494844,0.7663230240549826
42,Ben Seghir,M S,2005-02-16,Monaco,1759,0.307,0.153,0.33,0.247,0.253,28000000.0,0.9,21.4,Midfielder,92.20779220779221,77.92207792207793,97.40259740259741,92.20779220779221,90.9090909090909,90.12987012987011,3.218923933209647
43,Jubal,D,1993-08-29,Auxerre,2647,0.204,0.0,0.184,0.031,0.08,2500000.0,1.0,32.9,Defender,95.1219512195122,25.0,94.20731707317073,42.3780487804878,72.5609756097561,65.85365853658536,26.34146341463414
44,Himad Abdelli,F M,1999-11-17,Angers,2866,0.188,0.031,0.211,0.123,0.116,7000000.0,1.0,26.7,Forward,23.711340206185564,17.525773195876287,19.587628865979383,34.02061855670103,5.154639175257731,20.0,2.857142857142857
45,Abdallah Sima,F M S,2001-06-17,Brest,1229,0.439,0.146,0.564,0.124,0.564,9000000.0,1.0,25.1,Forward,80.41237113402062,53.608247422680414,79.38144329896907,35.051546391752574,85.56701030927834,66.80412371134021,7.422680412371134
46,Sebastian Nanasi,F M S,2002-05-16,Strasbourg,2166,0.249,0.166,0.253,0.251,0.253,18000000.0,1.0,24.2,Forward,35.56701030927835,61.855670103092784,30.927835051546392,79.38144329896907,36.08247422680412,48.76288659793815,2.709049255441008
47,Vincent Sierro,M S,1995-10-08,Toulouse,2433,0.185,0.037,0.157,0.158,0.101,4000000.0,1.0,30.8,Midfielder,74.02597402597402,31.16883116883117,62.33766233766234,75.32467532467533,61.038961038961034,60.77922077922078,15.194805194805195
48,Irvin Cardona,F M S,1997-08-08,Saint-Etienne,1102,0.408,0.245,0.41,0.174,0.348,2500000.0,1.0,28.9,Forward,75.25773195876289,76.28865979381443,63.91752577319587,56.70103092783505,56.70103092783505,65.77319587628867,26.309278350515466
49,Mahdi Camara,M S,1998-06-30,Brest,2691,0.167,0.1,0.162,0.092,0.162,9000000.0,1.0,28.0,Midfielder,71.42857142857143,58.44155844155844,67.53246753246754,49.35064935064935,75.32467532467533,64.4155844155844,7.157287157287156
50,Yann Gboho,F M S,2001-01-14,Toulouse,2363,0.19,0.152,0.206,0.171,0.206,8000000.0,1.0,25.5,Forward,24.742268041237114,57.73195876288659,18.556701030927837,55.154639175257735,23.711340206185564,35.97938144329897,4.497422680412371
51,Vitinha,M S,2000-02-13,Paris Saint Germain,2020,0.223,0.045,0.165,0.125,0.098,80000000.0,1.0,26.4,Midfielder,83.11688311688312,36.36363636363637,70.12987012987013,64.28571428571429,57.14285714285714,62.2077922077922,0.7775974025974025
52,Maghnes Akliouche,M S,2002-02-25,Monaco,2419,0.186,0.372,0.308,0.316,0.28,45000000.0,1.0,24.4,Midfielder,75.32467532467533,97.40259740259741,94.8051948051948,97.40259740259741,96.1038961038961,92.20779220779221,2.0490620490620493
53,Frank Magri,F M S,1999-09-04,Toulouse,1512,0.298,0.06,0.367,0.102,0.367,3000000.0,1.0,26.9,Forward,48.96907216494845,20.618556701030926,58.76288659793815,24.742268041237114,60.824742268041234,42.78350515463917,14.261168384879724
54,Lassine Sinayoko,F M S,1999-12-08,Auxerre,2305,0.195,0.312,0.278,0.212,0.249,4000000.0,1.0,26.6,Forward,25.773195876288657,85.56701030927834,38.144329896907216,67.0103092783505,34.02061855670103,50.103092783505154,12.525773195876289
55,Mostafa Mohamed,F S,1997-11-28,Nantes,1216,0.37,0.0,0.489,0.034,0.489,5000000.0,1.0,28.6,Forward,70.10309278350515,8.762886597938143,74.22680412371135,5.154639175257731,81.44329896907216,47.93814432989691,9.587628865979381
56,Hákon Haraldsson,F M S,2003-04-10,Lille,1791,0.251,0.151,0.22,0.19,0.22,18000000.0,0.95,23.3,Forward,38.144329896907216,56.70103092783505,21.649484536082475,61.855670103092784,27.835051546391753,41.23711340206186,2.2909507445589923
57,Issa Soumaré,F M S,2000-10-10,Le Havre,1908,0.236,0.189,0.198,0.128,0.198,2000000.0,1.0,25.8,Forward,32.98969072164948,67.0103092783505,13.402061855670103,38.144329896907216,18.556701030927837,34.020618556701024,17.010309278350512
58,Malick Fofana,F M S,2005-03-31,Lyon,1574,0.286,0.229,0.251,0.169,0.251,30000000.0,1.0,21.3,Forward,42.2680412371134,74.74226804123711,29.896907216494846,52.57731958762887,35.051546391752574,46.90721649484536,1.563573883161512
59,Ali Abdi,D S,1993-12-20,Nice,1410,0.319,0.128,0.312,0.151,0.312,3000000.0,1.0,32.6,Defender,100.0,80.48780487804879,99.39024390243902,82.6219512195122,99.39024390243902,92.3780487804878,30.79268292682927
60,André Ayew,F S,1989-12-17,Le Havre,1452,0.248,0.062,0.296,0.011,0.296,600000.0,1.0,36.6,Forward,34.02061855670103,22.68041237113402,43.29896907216495,2.0618556701030926,47.42268041237113,29.896907216494846,49.828178694158076
61,Fabián,M S,1996-04-03,Paris Saint Germain,1911,0.188,0.235,0.218,0.232,0.218,40000000.0,0.9,30.3,Midfielder,77.27272727272727,89.6103896103896,84.4155844155844,88.96103896103897,87.01298701298701,85.45454545454547,2.1363636363636367
62,Thilo Kehrer,D,1996-09-21,Monaco,2386,0.151,0.0,0.049,0.007,0.049,20000000.0,1.0,29.8,Defender,90.2439024390244,25.0,49.08536585365854,14.02439024390244,49.69512195121951,45.609756097560975,2.2804878048780486
63,Neal Maupay,F S,,Marseille,1054,0.342,0.342,0.4,0.195,0.4,,,,Forward,61.855670103092784,89.69072164948454,61.855670103092784,63.91752577319587,65.97938144329896,68.65979381443299,
64,Achraf Hakimi,D S,1998-11-04,Paris Saint Germain,2078,0.173,0.26,0.18,0.323,0.18,80000000.0,1.0,27.7,Defender,92.98780487804879,96.95121951219512,93.29268292682927,99.39024390243902,93.90243902439023,95.30487804878048,1.191310975609756
65,Arnaud Nordin,F M S,1998-06-17,Montpellier,1187,0.303,0.076,0.33,0.091,0.214,5000000.0,1.0,28.1,Forward,51.546391752577314,26.804123711340207,54.63917525773196,16.49484536082474,25.773195876288657,35.05154639175258,7.010309278350516
66,Bafode Diakite,D,2001-01-06,Lille,2770,0.13,0.032,0.09,0.004,0.09,28000000.0,1.0,25.5,Defender,85.97560975609755,50.91463414634146,72.5609756097561,8.231707317073171,75.0,58.53658536585365,2.090592334494773
67,Khvicha Kvaratskhelia,F S,2001-02-12,Paris Saint Germain,926,0.389,0.292,0.386,0.463,0.386,90000000.0,1.0,25.4,Forward,71.1340206185567,83.50515463917526,59.79381443298969,96.90721649484536,62.88659793814433,74.84536082474227,0.8316151202749141
68,Marshall Munetsi,M,1996-06-22,Reims,1697,0.212,0.106,0.307,0.084,0.307,15000000.0,1.0,30.1,Midfielder,80.51948051948052,61.038961038961034,93.5064935064935,44.8051948051948,97.40259740259741,75.45454545454545,5.03030303030303
69,Przemyslaw Frankowski,D M S,1995-04-12,Lens,1399,0.257,0.129,0.158,0.201,0.06,7000000.0,1.0,31.3,Defender,99.39024390243902,82.01219512195121,90.2439024390244,89.63414634146342,56.40243902439024,83.53658536585365,11.933797909407664
70,Folarin Balogun,F S,2001-07-03,Monaco,622,0.579,0.0,0.746,0.164,0.746,18000000.0,1.0,25.0,Forward,92.78350515463917,8.762886597938143,92.78350515463917,48.45360824742268,95.87628865979381,67.73195876288659,3.762886597938144
71,Habib Diarra,D F M S,2004-01-03,Strasbourg,2366,0.152,0.19,0.136,0.217,0.079,20000000.0,1.0,22.5,Defender,91.15853658536585,91.46341463414635,85.97560975609755,91.46341463414635,71.64634146341463,86.34146341463415,4.317073170731708
72,Felix Lemarechal,F M S,2003-08-07,Strasbourg,1803,0.2,0.15,0.203,0.138,0.203,10000000.0,1.0,22.9,Forward,27.835051546391753,55.670103092783506,17.525773195876287,43.81443298969072,22.68041237113402,33.50515463917526,3.350515463917526
73,Edon Zhegrova,F M,1999-03-31,Lille,1007,0.357,0.089,0.191,0.218,0.191,25000000.0,1.0,27.3,Forward,64.94845360824742,35.051546391752574,11.855670103092782,70.61855670103093,15.979381443298967,39.69072164948453,1.5876288659793811
74,Ado Onaiwu,F M S,1995-11-08,Auxerre,894,0.403,0.101,0.415,0.125,0.415,1500000.0,1.0,30.7,Forward,74.22680412371135,40.20618556701031,65.97938144329896,36.08247422680412,70.61855670103093,57.42268041237113,38.281786941580755
75,Junya Ito,F M S,1993-03-09,Reims,2721,0.132,0.099,0.2,0.278,0.2,6000000.0,1.0,33.4,Forward,17.525773195876287,38.144329896907216,14.432989690721648,83.50515463917526,19.587628865979383,34.639175257731964,5.773195876288661
76,Oumar Diakité,F S,,Reims,1696,0.212,0.053,0.325,0.092,0.285,,,,Forward,28.865979381443296,19.072164948453608,53.608247422680414,17.525773195876287,44.329896907216494,32.68041237113401,
77,Douglas Augusto,M,1997-01-13,Nantes,2336,0.154,0.077,0.164,0.066,0.164,6000000.0,1.0,29.5,Midfielder,68.83116883116884,48.05194805194805,68.83116883116884,37.01298701298701,76.62337662337663,59.87012987012988,9.97835497835498
78,Josué Casimir,D F M S,2001-09-24,Le Havre,2024,0.178,0.178,0.165,0.154,0.165,4000000.0,1.0,24.8,Defender,93.90243902439023,89.63414634146342,91.46341463414635,84.7560975609756,92.07317073170732,90.36585365853658,22.591463414634145
79,Shavy Babicka,M S,2000-06-01,Toulouse,1147,0.314,0.157,0.273,0.187,0.273,2500000.0,1.0,26.1,Midfielder,93.5064935064935,83.11688311688312,92.20779220779221,79.22077922077922,94.8051948051948,88.57142857142857,35.42857142857143
80,Matias Fernandez-Pardo,F M S,2005-02-03,Lille,1060,0.34,0.17,0.267,0.221,0.267,15000000.0,1.0,21.4,Forward,60.824742268041234,62.88659793814433,35.051546391752574,73.19587628865979,39.175257731958766,54.22680412371134,3.6151202749140894
81,Goduine Koyalipou,F M S,,Lens,909,0.396,0.0,0.646,0.093,0.646,,,,Forward,72.16494845360825,8.762886597938143,88.65979381443299,19.587628865979383,91.75257731958763,56.18556701030927,
82,Chuba Akpom,F S,1995-10-09,Lille,633,0.427,0.142,0.631,0.127,0.415,7000000.0,1.0,30.8,Forward,78.35051546391753,50.51546391752577,86.5979381443299,37.11340206185567,70.61855670103093,64.63917525773196,9.23416789396171
83,Aleksandr Golovin,M S,1996-05-30,Monaco,1158,0.233,0.0,0.171,0.188,0.171,20000000.0,1.0,30.1,Midfielder,87.01298701298701,15.584415584415584,71.42857142857143,80.51948051948052,77.92207792207793,66.49350649350649,3.3246753246753245
84,Adrien Thomasson,M S,1993-12-10,Lens,2640,0.102,0.239,0.218,0.205,0.218,5000000.0,1.0,32.6,Midfielder,59.74025974025974,90.9090909090909,84.4155844155844,83.11688311688312,87.01298701298701,81.03896103896105,16.20779220779221
85,Valentin Rongier,D M S,1994-12-07,Marseille,1565,0.173,0.058,0.056,0.097,0.056,9000000.0,1.0,31.6,Defender,92.98780487804879,63.41463414634146,53.65853658536586,70.73170731707317,54.268292682926834,67.01219512195122,7.44579945799458
87,Wesley Said,F M S,1995-04-19,Lens,910,0.297,0.0,0.292,0.093,0.292,3000000.0,1.0,31.2,Forward,47.42268041237113,8.762886597938143,42.2680412371134,19.587628865979383,46.391752577319586,32.88659793814433,10.962199312714775
88,Kenny Lala,D S,1991-10-03,Brest,2686,0.101,0.067,0.098,0.131,0.022,2000000.0,1.0,34.8,Defender,79.8780487804878,66.76829268292683,75.0,78.65853658536585,27.743902439024392,65.60975609756096,32.80487804878048
89,Ibrahima Niane,F S,1999-03-11,Angers,907,0.298,0.099,0.767,0.109,0.692,1000000.0,1.0,27.4,Forward,48.96907216494845,38.144329896907216,93.81443298969072,30.412371134020617,93.81443298969072,61.030927835051536,61.030927835051536
90,Romain Faivre,F M S,1998-07-14,Brest,901,0.3,0.2,0.271,0.222,0.195,6000000.0,1.0,28.0,Forward,50.51546391752577,71.1340206185567,36.08247422680412,74.22680412371135,17.525773195876287,49.896907216494846,8.316151202749142
91,Mitchel Bakker,D F M S,2000-06-20,Lille,1144,0.236,0.157,0.249,0.21,0.249,7000000.0,1.0,26.1,Defender,98.17073170731707,86.89024390243902,98.17073170731707,90.85365853658537,98.17073170731707,94.45121951219514,13.49303135888502
92,Mohamed Ali-Cho,F M S,2004-01-19,Nice,1667,0.162,0.216,0.232,0.24,0.232,15000000.0,0.929,22.5,Forward,21.649484536082475,73.19587628865979,24.22680412371134,76.28865979381443,30.412371134020617,45.154639175257735,3.010309278350516
93,Jonathan Clauss,D S,1992-09-25,Nice,2337,0.116,0.308,0.106,0.322,0.106,5000000.0,1.0,33.8,Defender,82.92682926829268,99.39024390243902,78.04878048780488,98.78048780487805,79.8780487804878,87.80487804878048,17.560975609756095
94,Sinaly Diomande,D S,2001-04-09,Auxerre,1945,0.139,0.093,0.063,0.018,0.063,5000000.0,1.0,25.3,Defender,87.5,75.0,57.012195121951216,28.04878048780488,58.231707317073166,61.15853658536586,12.231707317073171
95,Tanguy Coulibaly,F M S,2001-02-18,Montpellier,1502,0.18,0.0,0.297,0.09,0.297,1500000.0,1.0,25.4,Forward,22.68041237113402,8.762886597938143,44.329896907216494,15.463917525773196,48.45360824742268,27.938144329896907,18.625429553264606
96,Lorenz Assignon,D M S,2000-06-22,Rennes,2378,0.114,0.151,0.11,0.149,0.11,9000000.0,1.0,26.1,Defender,82.3170731707317,84.14634146341463,78.96341463414635,81.09756097560977,80.79268292682927,81.46341463414635,9.051490514905149
97,Sepe Elye Wahi,F S,2003-01-02,Marseille,585,0.462,0.154,0.832,0.062,0.715,22000000.0,0.9,23.5,Forward,81.95876288659794,58.76288659793815,95.87628865979381,8.24742268041237,94.84536082474226,67.93814432989691,3.088097469540769
98,Charlie Cresswell,D S,2002-08-17,Toulouse,2601,0.104,0.035,0.143,0.045,0.143,10000000.0,1.0,23.9,Defender,80.48780487804879,53.35365853658537,89.02439024390245,53.65853658536586,90.2439024390244,73.35365853658537,7.335365853658537
99,Ahmadou Bamba Dieng,F S,2000-03-23,Angers,495,0.545,0.0,0.512,0.005,0.374,3000000.0,0.9,26.3,Forward,87.62886597938144,8.762886597938143,76.28865979381443,1.0309278350515463,61.855670103092784,47.11340206185567,15.704467353951891
100,Pablo Rosario,D M S,1997-01-07,Nice,1775,0.152,0.051,0.223,0.029,0.184,8000000.0,1.0,29.5,Defender,91.15853658536585,62.80487804878049,96.95121951219512,39.63414634146341,94.8170731707317,77.07317073170732,9.634146341463415
101,Kamory Doumbia,M S,2003-02-18,Brest,1317,0.205,0.137,0.256,0.154,0.256,4000000.0,1.0,23.4,Midfielder,79.22077922077922,74.02597402597402,88.31168831168831,73.37662337662337,92.20779220779221,81.42857142857142,20.357142857142854
102,Jonathan Rowe,F M S,2003-04-30,Marseille,745,0.362,0.362,0.488,0.513,0.488,12000000.0,1.0,23.2,Forward,65.97938144329896,94.84536082474226,73.19587628865979,97.9381443298969,80.41237113402062,82.47422680412372,6.872852233676976
103,Nicolás Tagliafico,D S,1992-08-31,Lyon,1918,0.141,0.047,0.139,0.032,0.139,6000000.0,1.0,33.9,Defender,88.41463414634147,60.97560975609756,88.41463414634147,44.207317073170735,89.63414634146342,74.32926829268293,12.388211382113822
104,Badredine Bouanani,F M S,2004-12-08,Nice,1083,0.249,0.249,0.235,0.232,0.172,7000000.0,1.0,21.6,Forward,35.56701030927835,77.31958762886599,27.835051546391753,75.25773195876289,12.371134020618557,45.67010309278351,6.524300441826216
105,Youssouf Ndayishimiye,D M S,1998-10-27,Nice,1937,0.139,0.0,0.075,0.008,0.075,12000000.0,1.0,27.7,Defender,87.5,25.0,66.15853658536585,16.158536585365855,67.3780487804878,52.4390243902439,4.369918699186992
106,Mousa Al Tamari,F M S,1997-06-10,"Montpellier,Rennes",1696,0.159,0.053,0.281,0.21,0.281,6000000.0,0.95,29.1,Forward,20.618556701030926,19.072164948453608,39.175257731958766,65.97938144329896,42.2680412371134,37.422680412371136,6.237113402061856
107,Akor Adams,F S,2000-01-29,Montpellier,1079,0.25,0.083,0.419,0.065,0.419,5000000.0,1.0,26.5,Forward,37.11340206185567,29.381443298969074,67.0103092783505,10.309278350515463,72.16494845360825,43.19587628865979,8.639175257731958
108,Arouna Sangante,D,2002-04-12,Le Havre,1268,0.213,0.0,0.069,0.004,0.069,8000000.0,1.0,24.3,Defender,96.34146341463415,25.0,62.80487804878049,8.231707317073171,64.02439024390245,51.28048780487804,6.410060975609755
109,Aron Dønnum,D M S,1998-04-20,Toulouse,2714,0.099,0.066,0.085,0.165,0.085,4000000.0,1.0,28.2,Defender,78.65853658536585,65.54878048780488,71.95121951219512,85.36585365853658,74.39024390243902,75.18292682926828,18.79573170731707
110,Ernest Nuamah,F M S,2003-11-01,Lyon,1038,0.26,0.087,0.183,0.17,0.183,15000000.0,1.0,22.7,Forward,39.175257731958766,34.02061855670103,10.309278350515463,53.608247422680414,14.432989690721648,30.309278350515466,2.0206185567010313
111,João Neves,D M S,2004-09-27,Paris Saint Germain,1875,0.144,0.384,0.185,0.246,0.185,80000000.0,1.0,21.8,Defender,89.02439024390245,100.0,95.1219512195122,93.29268292682927,95.73170731707317,94.63414634146342,1.1829268292682928
112,Osame Sahraoui,M S,2001-06-11,Lille,1251,0.216,0.216,0.201,0.25,0.201,12000000.0,1.0,25.1,Midfielder,81.81818181818183,88.31168831168831,77.92207792207793,93.5064935064935,83.11688311688312,84.93506493506494,7.077922077922079
113,George Ilenikhena,F S,2006-08-16,Monaco,672,0.402,0.268,0.645,0.182,0.645,15000000.0,1.0,19.9,Forward,73.19587628865979,80.41237113402062,87.62886597938144,60.824742268041234,90.72164948453609,78.55670103092783,5.237113402061855
